y_1848,y_1849,y_1850,y_1851,y_1852,y_1853,y_1854,y_1855,y_1856,y_1857,y_1858,y_1859,y_1860,y_1861,y_1862,y_1863,y_1864,y_1865,y_1866,y_1867,y_1868,y_1869,y_1870,y_1871,y_1872,y_1873,y_1874,y_1875,y_1876,y_1877,y_1878,y_1879,y_1880,y_1881,y_1882,y_1883,y_1884,y_1885,y_1886,y_1887,y_1888,y_1889,y_1890,y_1891,y_1892,y_1893,y_1894,y_1895,y_1896,y_1897,y_1898,y_1899,y_1900,y_1901,y_1902,y_1903,y_1904,y_1905,y_1906,y_1907,y_1908,y_1909,y_1910,y_1911,y_1912,y_1913,y_1914,y_1915,y_1916,y_1917,y_1918,y_1919,y_1920,y_1921,y_1922,y_1923,y_1924,y_1925,y_1926,y_1927,y_1928,y_1929,y_1930,y_1931,y_1932,y_1933,y_1934,y_1935,y_1936,y_1937,y_1938,y_1939,y_1940,y_1941,y_1942,y_1943,y_1944,y_1945,y_1946,y_1947,y_1948,y_1949,y_1950,y_1951,y_1952,y_1953,y_1954,y_1955,y_1956,y_1957,y_1958,y_1959,y_1960,y_1961,y_1962,y_1963,y_1964,y_1965,y_1966,y_1967,y_1968,y_1969,y_1970,y_1971,y_1972,y_1973,y_1974,y_1975,y_1976,y_1977,y_1978,y_1979,y_1980,y_1981,y_1982,y_1983,y_1984,y_1985,y_1986,y_1987,y_1988,y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002
12210.40506,12193.29002,11651.76543,9785.739671,9242.863152,6985.531664,6547.403805,6679.407348,6940.566391,7180.759437,7325.451558,7086.755151,6918.217632,6879.336504,6746.515435,6745.188825,6603.806825,6345.767353,5958.852639,5616.137069,5230.923308,4917.900159,4723.347885,4278.635005,4293.347837,4247.184397,4246.830642,4292.745518,4236.341742,4293.365424,4165.941696,4216.534068,4093.630387,3766.642562,3474.953649,3358.812198,3431.875262,3395.356893,3151.454509,3097.241662,2971.97871,2917.97808,2892.472809,2857.467917,2679.679886,2436.754641,2344.200749,2198.328436,2158.759632,2116.600802,2061.840164,1836.207153,1673.393651,1586.685072,1585.380353,1482.458522,1419.47806,1383.332515,1328.719338,1306.515317,1258.402389,1182.819347,1163.31143,1166.078785,1159.604714,1162.148116,1180.280935,1162.79755,1181.099209,1200.269279,1208.780707,1225.394064,1236.899237,1249.025253,1284.825698,1293.442052,1327.724839,1335.733976,1332.500921,1345.979424,1380.055471,1400.110723,1420.782224,1454.566994,1475.337062,1501.603201,1534.563331,1568.616799,1609.778408,1643.792316,1651.599077,1675.915296,1718.185959,1759.967729,1786.161758,1824.616989,1875.725442,1934.444542,1981.054461,2032.095656,2083.92755,2149.845608,2215.278563,2271.92239,2330.632127,2402.697138,2448.715403,2526.750066,2581.839782,2662.349418,2751.163252,2843.031892,2940.845845,3012.464754,3101.395473,3190.246434,3286.7483,3377.838598,3481.206769,3578.53645,3690.146641,3791.091364,3890.166074,3976.728888,4087.4266,4183.032116,4274.738412,4377.402965,4492.269772,4570.138877,4651.84833,4789.656773,4926.142147,5054.366226,5191.288731,5342.717549,5495.619206,5651.518804,5812.34423,5968.545445,6120.716916,6276.127287,6436.876252,6584.705329,6728.325672,6874.226862,7016.589469,7172.27634,7310.474595,7460.567038,7594.603527,7723.922405,7853.169483,7982.146843,8110.587154
11051.27315,11034.03812,10489.8019,8642.002804,8175.71836,5972.328494,5579.107531,5747.036078,6041.525934,6313.084162,6486.464748,6271.457785,6124.201626,6105.202809,5989.997209,6005.482913,5879.632532,5638.904495,5271.787449,4950.90669,4586.955187,4293.808102,4117.843087,3688.468512,3717.670835,3685.697857,3699.386454,3759.552004,3716.914698,3787.94632,3673.730236,3738.27797,3629.17668,3314.575401,3033.886436,2928.302263,3013.042877,2988.634189,2755.625933,2711.928713,2596.565404,2552.186669,2536.290737,2510.877154,2341.634494,2105.559701,2019.107191,1878.448622,1843.806316,1806.430336,1756.220561,1533.702598,1372.590011,1286.767304,1286.234686,1183.391194,1119.87588,1082.781312,1026.683357,1002.664735,952.2464211,873.6425174,850.7251922,849.9136919,839.5715648,838.0340659,852.0227485,830.1419386,843.9286524,858.5542171,862.4238163,874.3201556,881.017686,888.2305083,919.1875612,922.8954258,952.3093743,955.3653757,946.9431242,955.0716101,983.8320283,998.5404982,1013.805465,1042.221728,1057.599528,1078.460568,1106.06375,1134.824177,1170.832321,1199.788295,1202.455927,1221.603563,1258.826851,1295.717634,1317.085703,1350.825358,1397.444702,1452.012247,1494.75506,1542.218647,1590.791471,1653.880943,1716.978793,1771.779069,1829.128802,1900.412661,1946.109235,2024.47507,2080.488534,2162.628469,2253.931195,2349.247081,2451.544185,2528.549025,2623.828424,2720.07138,2825.122996,2925.936474,3040.28534,3149.912907,3275.205065,3391.233072,3506.738783,3610.994937,3740.829086,3856.919307,3970.484841,4096.43397,4236.077532,4339.908139,4448.876472,4615.593645,4782.38737,4942.153164,5111.875334,5297.281527,5485.078198,5676.569161,5873.465714,6065.871159,6254.129754,6445.301091,6641.173649,6822.958506,6999.293209,7176.464668,7348.230781,7531.335159,7694.043707,7866.146676,8018.782582,8163.669781,8305.413023,8443.585939,8577.74005
14815.254,14798.37729,14262.99829,12381.85679,11729.90458,9393.615025,8868.536927,8923.432294,9112.738865,9286.216963,9370.34572,9081.294047,8866.416524,8783.658262,8611.665967,8572.920234,8398.523135,8106.782499,7685.446849,7305.5503,6883.818179,6535.560736,6306.916783,5833.706952,5819.417659,5745.131249,5716.847308,5734.573617,5651.25854,5680.95763,5528.542123,5553.157811,5405.902623,5058.176857,4748.313368,4614.465373,4668.060473,4612.109408,4351.614651,4280.894238,4140.475081,4071.700681,4031.500029,3982.150558,3792.296843,3540.415989,3439.974551,3288.166097,3243.013213,3195.685275,3136.406924,2909.381143,2747.221198,2662.277578,2662.703404,2562.97364,2504.007135,2472.526785,2423.59688,2407.495438,2366.389913,2298.970363,2287.985368,2299.425817,2302.160784,2314.196558,2341.798579,2334.170772,2362.304189,2391.235156,2409.569473,2435.982744,2457.31629,2479.311482,2524.681384,2542.921137,2586.532961,2603.956362,2610.395369,2633.580699,2677.094792,2706.517058,2736.472465,2779.26608,2808.944411,2843.936247,2885.339472,2927.537054,2976.420614,3017.834636,3033.064095,3064.601705,3113.645705,3161.753779,3194.025832,3238.144912,3294.320788,3357.374967,3407.7401,3461.894694,3516.173412,3583.664498,3649.771591,3706.262278,3763.968238,3833.997648,3877.285517,3951.431762,4001.773623,4076.339451,4157.874038,4241.045533,4328.649223,4388.89251,4465.049757,4539.712074,4620.466404,4694.31334,4778.775586,4855.581762,4944.880801,5021.852089,5095.338116,5154.878138,5236.750572,5302.008843,5361.821804,5430.909323,5510.39668,5551.674386,5595.341752,5692.915676,5787.343524,5871.860318,5963.278134,6067.334279,6171.180207,6276.432425,6385.084158,6487.825564,6585.378337,6685.044374,6789.023597,6879.483252,6965.114395,7052.449133,7135.943415,7232.363184,7311.705606,7402.894156,7478.797124,7550.515838,7622.753669,7695.536142,7768.816922
16327.11365,16310.45322,15781.46471,13910.27767,13222.30148,10870.01578,10304.71161,10316.99693,10464.81132,10599.34803,10648.01345,10330.53453,10088.18737,9978.068195,9781.532346,9718.613598,9524.957501,9215.851756,8780.834768,8386.109049,7949.380303,7585.064559,7339.079444,6851.958421,6819.690921,6728.262073,6682.423796,6682.151225,6582.036129,6594.101568,6426.771194,6435.475229,6275.048789,5917.630239,5598.917211,5455.044811,5496.925447,5430.105527,5161.294536,5080.520721,4930.924778,4852.46138,4802.244029,4743.187401,4545.508151,4287.52387,4180.504959,4023.565249,3972.659632,3919.733937,3855.274004,3625.747675,3461.183282,3373.612893,3370.679295,3268.836344,3207.631368,3173.971615,3123.453061,3105.586555,3063.249016,2995.097189,2982.934686,2992.991097,2994.695937,3005.706019,3032.036242,3023.349199,3050.01402,3077.291028,3093.902284,3118.376829,3137.643625,3157.439611,3200.202105,3215.885068,3256.409759,3270.821905,3274.245385,3294.089003,3333.853364,3359.428994,3385.308527,3423.645091,3448.752756,3478.877146,3515.078878,3551.761636,3594.764086,3630.040338,3639.173531,3664.223005,3706.279944,3747.046047,3771.829167,3808.013838,3855.744854,3909.87561,3951.049278,3995.568994,4039.796693,4096.644613,4151.658113,4196.737711,4242.580918,4300.123673,4330.756449,4391.445178,4428.106933,4488.213052,4554.64885,4622.143607,4693.442388,4737.14344,4796.023773,4852.86225,4915.168463,4970.092012,5034.929361,5091.651206,5160.123209,5215.850922,5267.550025,5304.89619,5363.730145,5405.583511,5441.538494,5486.109375,5540.407923,5556.442293,5574.319708,5644.891233,5711.857984,5768.530073,5831.526736,5906.524529,5980.87226,6056.138081,6134.325487,6206.268628,6272.659669,6340.6925,6412.61359,6470.829875,6523.798159,6577.991651,6627.993727,6690.356952,6735.552197,6792.07729,6833.258771,6869.989808,6906.935207,6944.165006,6981.661315
13150.2298,13133.39555,12600.21909,10749.14434,10172.03147,7909.496969,7444.671882,7545.20452,7772.549156,7978.459044,8090.184543,7825.257644,7631.026751,7565.654247,7408.730978,7382.825079,7222.132379,6948.004853,6550.855408,6198.070503,5803.472891,5480.032154,5273.272162,4820.363541,4821.126142,4761.433066,4746.40984,4776.418175,4704.996833,4745.268591,4604.016109,4639.108026,4504.003324,4169.251352,3870.854862,3746.410711,3808.894355,3762.830764,3512.551548,3449.481515,3316.309324,3253.496108,3218.530491,3174.196871,2989.278207,2741.172877,2642.530422,2492.237424,2447.285602,2399.870095,2340.299805,2113.210435,1948.947854,1860.425606,1856.346251,1752.297857,1688.02475,1650.634836,1595.519873,1572.604456,1524.48943,1449.597961,1430.250314,1432.98618,1426.998775,1430.131883,1448.656875,1431.980183,1450.6781,1470.15397,1479.023928,1495.849212,1507.532004,1519.79637,1555.348769,1563.919621,1597.578674,1605.189338,1601.6631,1614.529863,1647.595749,1666.644906,1686.136826,1718.3765,1737.585825,1762.031202,1792.863583,1824.503122,1862.901847,1893.930575,1898.917573,1920.006112,1958.49656,1996.126686,2018.064731,2051.760785,2097.515647,2150.327572,2190.739022,2235.048396,2279.640192,2337.569956,2394.440724,2442.117108,2491.259599,2552.912801,2588.249657,2654.501481,2697.437768,2764.679824,2839.274417,2916.036963,2997.771541,3052.824921,3124.03803,3194.245137,3271.06556,3341.613232,3423.262651,3498.00578,3585.76826,3662.025777,3735.384981,3795.366745,3878.035031,3944.787732,4006.702091,4078.353313,4160.97688,4206.19283,4254.155676,4356.259235,4456.183171,4547.11308,4645.781143,4757.98356,4871.052302,4986.512488,5106.405126,5221.486815,5332.379932,5446.282021,5565.510561,5672.276538,5774.953718,5880.043992,5982.054717,6097.662752,6196.973609,6308.749485,6405.963226,6499.599341,6594.340895,6690.207545,6787.116087
12527.48031,12510.46449,11971.88826,10111.12591,9556.436237,7297.638921,6851.035889,6972.837083,7222.767667,7451.346691,7584.694789,7336.887586,7159.410574,7111.269884,6969.963308,6959.929815,6811.600067,6547.791854,6157.207263,5811.020259,5422.689478,5106.270992,4907.738387,4460.473544,4470.627946,4420.018617,4414.791107,4455.357704,4393.875787,4445.168348,4312.988351,4358.202281,4231.040448,3901.357712,3607.384895,3488.432736,3557.887681,3518.121463,3272.095147,3214.910244,3087.01209,3030.062125,3001.375128,2963.219521,2783.045314,2538.421342,2443.850178,2296.539581,2255.198039,2211.308771,2154.971639,1928.941472,1765.758033,1678.566651,1676.4496,1573.299325,1510.044788,1473.64735,1419.046384,1396.789254,1348.876941,1273.749701,1254.523405,1257.51161,1251.441806,1254.432619,1272.952369,1256.0125,1274.724552,1294.28299,1303.211521,1320.200496,1332.079437,1344.575386,1380.619539,1389.56017,1423.974859,1432.202879,1429.236152,1442.880349,1476.991402,1497.091501,1517.756835,1551.416651,1572.065247,1598.128815,1630.788066,1664.449069,1705.10407,1738.54157,1745.839435,1769.515039,1810.960293,1851.793298,1877.009057,1914.317509,1964.076529,2021.255575,2066.226127,2115.444512,2165.277825,2228.93607,2291.906684,2345.944362,2401.836726,2470.785934,2513.589978,2588.021275,2639.3707,2715.743546,2800.075947,2887.138582,2979.790039,3046.060112,3129.224311,3211.96652,3301.976908,3386.25348,3482.375182,3572.131612,3675.704582,3768.294328,3858.632466,3936.135242,4037.245301,4122.954039,4204.416073,4296.391485,4400.122216,4466.700322,4536.7262,4662.154985,4785.959129,4901.251693,5024.918883,5162.774257,5301.926573,5443.913847,5590.717969,5732.91369,5871.119328,6012.59218,6159.526962,6293.85216,6424.167735,6556.979794,6686.602176,6829.844312,6956.24767,7094.970903,7218.419057,7337.796557,7457.76661,7578.217724,7698.954872
16001.97948,15985.15928,15451.15212,13563.67689,12874.80693,10507.07161,9944.787671,9966.161799,10125.0031,10270.95451,10330.52604,10020.5655,9786.361222,9685.53959,9497.348427,9443.403473,9255.305701,8949.434219,8513.194163,8117.043617,7678.888533,7314.488955,7070.153331,6582.842628,6554.773856,6467.13747,6425.819364,6430.706939,6335.101159,6352.694787,6188.897398,6202.062269,6043.738405,5685.831874,5366.554842,5223.579928,5267.650905,5202.1228,4932.762914,4853.431892,4704.809835,4628.072928,4580.034,4522.996543,4326.084264,4068.069947,3961.958455,3804.99616,3754.888766,3702.723418,3638.767653,3407.793024,3242.356912,3154.506702,3152.045073,3049.710902,2988.38089,2954.672026,2903.688515,2885.605905,2842.650355,2773.618613,2761.097579,2770.952067,2772.061433,2782.395993,2808.157373,2798.653932,2824.783724,2851.542531,2867.573171,2891.529238,2910.266044,2929.517511,2971.904039,2987.004154,3027.273758,3041.198644,3044.046837,3063.508452,3103.060805,3128.320011,3153.919628,3192.112233,3216.97366,3246.922594,3283.025246,3319.66002,3362.677305,3397.952591,3406.847345,3431.816107,3473.992336,3514.9268,3539.761673,3576.150941,3624.257376,3678.858144,3720.421719,3765.421329,3810.18574,3867.75637,3923.52654,3969.275006,4015.837823,4074.288305,4105.643855,4167.393896,4204.953658,4266.278228,4334.08805,4403.035315,4475.901348,4520.985269,4581.504483,4640.059558,4704.205305,4760.967933,4827.835776,4886.557928,4957.24943,5015.133951,5069.064417,5108.628306,5170.007166,5214.357242,5252.819942,5300.082996,5357.26185,5375.907532,5396.505928,5470.409066,5540.738537,5600.767076,5667.250474,5745.91721,5823.976233,5903.059539,5985.165679,6061.031972,6131.383165,6203.504099,6279.59795,6341.915238,6399.101591,6457.674428,6512.1386,6579.210617,6629.079822,6690.512528,6736.565431,6778.2418,6820.231799,6862.591158,6905.303843
12001.3039,11984.10772,11440.13459,9568.689954,9032.201752,6773.100726,6339.062645,6477.116308,6745.544878,6993.664706,7146.380463,6914.150246,6752.068372,6720.034693,6593.570585,6598.889892,6462.781929,6208.876008,5824.115336,5483.140971,5099.262487,4787.780103,4595.278223,4151.496275,4168.889126,4125.347746,4128.014115,4177.384311,4124.261363,4185.157626,4060.843561,4115.075277,3994.878145,3669.291497,3378.656688,3263.999707,3339.1705,3304.422555,3061.349445,3008.680836,2884.682677,2832.214892,2808.437475,2775.134434,2598.427447,2356.044592,2264.320958,2118.801517,2079.865787,2038.294486,1983.980925,1757.809879,1594.455166,1507.303523,1505.816766,1402.208575,1338.574656,1301.739903,1246.193411,1223.089269,1173.83664,1096.882463,1076.129229,1077.668579,1069.765323,1070.795139,1087.414924,1068.242339,1084.914463,1102.416083,1109.178679,1124.018098,1133.69117,1143.924059,1177.864622,1184.484829,1216.865584,1222.827149,1217.436446,1228.76979,1260.726726,1278.570902,1296.988866,1328.528239,1346.955962,1370.850616,1401.419371,1433.053892,1471.779599,1503.304518,1508.450475,1530.095357,1569.724729,1608.841755,1632.265119,1667.955263,1716.328988,1772.326851,1816.150898,1864.407521,1913.446148,1976.628503,2039.33124,2093.194421,2149.124909,2218.482015,2261.699427,2337.066217,2389.421096,2467.33271,2553.649669,2643.106423,2738.620664,2807.916143,2894.673779,2981.451179,3076.010801,3165.247715,3266.939342,3362.695986,3472.946669,3572.647152,3670.63732,3756.231731,3866.230478,3961.276964,4052.576162,4155.064692,4270.020778,4348.045557,4430.091937,4568.685343,4706.250912,4835.827442,4974.432544,5127.922995,5283.230917,5441.904788,5605.877287,5765.553826,5921.519544,6081.064945,6246.273599,6398.795621,6547.371665,6698.493554,6846.291616,7007.682598,7151.7015,7307.818552,7447.930987,7583.386205,7718.813905,7853.979866,7988.582942
10991.92889,10974.79404,10433.89363,8601.839685,8151.080179,5969.215585,5585.033729,5755.401871,6049.001226,6317.518546,6486.511918,6267.971463,6116.482275,6092.14414,5971.669585,5981.143951,5851.318909,5609.498203,5245.924973,4930.12899,4571.7023,4283.114661,4110.240903,3684.660059,3714.249966,3682.553183,3695.687597,3754.52524,3710.608515,3779.37003,3663.906354,3726.603981,3617.275705,3304.30617,3025.429028,2920.768003,3005.729691,2982.230306,2751.29868,2708.250027,2593.749879,2549.619059,2533.569108,2507.984614,2339.246939,2104.022687,2017.674952,1877.644246,1843.043176,1805.726622,1755.726956,1534.62548,1374.443332,1289.093202,1288.526637,1186.264604,1123.052373,1086.159691,1030.476471,1006.685025,956.7191122,878.71315,856.0365523,855.3639157,845.3809938,844.2530757,858.6094197,837.3006791,851.4969953,866.5709326,870.9767058,883.4072884,890.6891499,898.5357412,930.0729721,934.5534268,964.5673834,968.4242499,960.8905314,969.8077543,999.3019885,1014.868335,1031.019782,1060.29708,1076.670772,1098.548517,1127.193649,1157.038249,1194.182046,1224.368734,1228.510351,1249.112184,1287.747953,1326.112899,1349.12982,1384.513011,1432.765712,1489.025166,1533.634783,1583.024762,1633.609831,1698.719497,1763.958124,1821.119495,1880.95262,1954.748362,2003.229912,2084.324311,2143.337225,2228.423448,2322.73504,2421.186213,2526.720851,2607.254192,2706.059355,2805.943259,2914.735693,3019.46767,3137.780004,3251.568186,3381.037007,3501.439399,3621.406358,3730.249975,3864.584282,3985.284645,4103.55288,4234.165344,4378.396012,4486.979923,4600.686481,4771.778539,4942.795197,5106.613198,5280.125842,5468.958412,5659.808898,5853.87594,6052.813516,6246.717002,6435.887128,6627.305336,6822.736238,7003.427904,7177.968814,7352.626915,7521.173907,7700.280041,7858.267743,8024.948904,8171.525188,8309.852661,8444.59509,8575.364612,8701.754945
16303.54213,16286.79199,15754.94752,13873.47124,13181.47928,10817.01851,10250.09427,10264.73952,10416.33573,10555.13027,10607.99972,10293.03104,10053.73055,9947.471931,9754.39946,9695.41444,9503.783007,9195.296794,8758.192317,8361.211976,7922.292306,7556.688538,7310.545328,6822.354259,6791.711042,6701.702206,6657.750382,6659.759849,6561.581356,6576.206417,6410.302863,6420.989523,6261.171962,5902.930977,5583.484433,5439.83095,5482.693178,5416.324776,5146.960665,5066.890177,4917.775277,4840.287812,4791.339787,4733.48095,4536.322547,4278.497463,4172.273543,4015.644607,3965.583773,3913.504677,3849.770059,3619.898995,3455.435028,3368.382417,3366.436374,3265.04736,3204.55804,3171.69354,3121.761748,3104.657413,3062.875514,2995.165849,2983.784669,2994.728161,2997.104544,3008.753808,3035.793784,3027.682599,3055.101851,3083.145863,3100.493078,3125.746932,3145.792885,3166.366828,3210.006693,3226.448027,3267.929877,3283.165761,3287.376008,3308.134968,3348.916961,3375.450311,3402.314975,3441.718513,3467.834366,3499.012919,3536.314624,3574.127035,3618.292001,3654.719278,3664.869012,3691.038079,3734.333952,3776.364568,3802.343619,3839.817338,3888.934432,3944.496065,3987.04377,4032.985185,4078.661302,4137.057091,4193.622976,4240.188517,4287.5382,4346.686888,4378.807069,4441.174581,4479.405391,4541.260779,4609.51677,4678.852231,4752.032152,4797.483773,4858.252763,4917.005375,4981.275092,5038.137814,5105.004754,5163.710294,5234.270698,5292.019961,5345.764476,5385.133563,5446.168718,5490.173574,5528.271416,5575.080814,5631.708005,5649.896898,5669.994615,5743.132451,5812.642953,5871.819803,5937.364246,6014.976824,6091.917185,6169.793869,6250.604629,6325.126134,6394.075803,6464.704431,6539.226926,6599.960696,6655.488538,6712.309702,6764.959261,6830.084673,6877.988851,6937.331834,6981.27828,7020.79424,7060.559496,7100.634031,7141.00058
