"","s0","s1","K1plus","fmax"
"1",0.871843181736767,0.950835471809842,12210.4050591588,0.27557937964797
"2",0.924589993618429,0.957501846784726,11051.2731503695,0.274462313000113
"3",0.930696312291548,0.937594869220629,14815.2539995499,0.257081653177738
"4",0.933703360147774,0.925579571188427,16327.1136535332,0.301690070182085
"5",0.988315465161577,0.935235893703066,13150.2297986299,0.303354935515672
"6",0.88064177595079,0.945323044247925,12527.4803093635,0.294897636212409
"7",0.89852023855783,0.934455580101348,16001.9794758409,0.259229966066778
"8",0.865117313107476,0.9553433397552,12001.3038977049,0.258805044330657
"9",0.966696500964463,0.951936341566034,10991.9288940728,0.30023793252185
"10",0.877525471663103,0.930563188623637,16303.5421282984,0.286071791350842
"11",0.832541163312271,0.926030122232623,18978.0955342576,0.290224793665111
"12",0.975361654302105,0.935797844128683,14297.2383322194,0.268360155448318
"13",0.924852933734655,0.936037013214082,14244.9537105858,0.282995547950268
"14",0.81063071032986,0.951191261014901,12116.4248464629,0.297984794639051
"15",0.911756293382496,0.942088966351002,14062.862182036,0.25283999318257
"16",0.825095404172316,0.929740331089124,15463.4859855287,0.329177113287151
"17",0.970195122342557,0.943445153627545,12539.3077172339,0.279117476418614
"18",0.974124183179811,0.935027579846792,14658.7145118974,0.262750709597021
"19",0.879495960380882,0.944294506195001,12344.8015912436,0.310675407238305
"20",0.996281835716218,0.928406673506834,14263.3658787236,0.311588125042617
"21",0.975440115155652,0.93650682575535,12785.0558143109,0.313768305592239
"22",0.920305653847754,0.952339517790824,11908.5178803653,0.264710764698684
"23",0.842977727809921,0.941363446973264,13358.9189243503,0.301685382518917
"24",0.875166133558378,0.929276572330855,18716.759881936,0.255888768229634
"25",0.954888083646074,0.927428267407231,16013.8358711265,0.28835386633873
"26",0.909175646258518,0.950309393042698,11960.7943785377,0.278173518255353
"27",0.808382156537846,0.969239953369833,10379.9513611011,0.279522649943829
"28",0.808382156537846,0.969239953369833,10379.9513611011,0.279522649943829
"29",0.870287800766528,0.937098647537641,14427.7034630068,0.287944322694093
"30",0.87289352142252,0.932195401261561,17018.7814347446,0.261794117353857
"31",0.97351755220443,0.931297619035467,14762.6802558079,0.286109545174986
"32",0.84632531455718,0.955654068780132,10822.6783713326,0.326815605387092
"33",0.84632531455718,0.955654068780132,10822.6783713326,0.326815605387092
"34",0.997109502973035,0.946546741179191,11521.734513808,0.297054148409516
"35",0.997109502973035,0.946546741179191,11521.734513808,0.297054148409516
"36",0.805742774810642,0.935996216768399,14227.3796023801,0.325465400833637
"37",0.922296143136919,0.949195977975614,12101.5435340814,0.274995850659907
"38",0.844302980508655,0.930969823151827,15124.6070093475,0.321659313570708
"39",0.91097439029254,0.93752699655015,14363.7452926487,0.273573812656105
"40",0.872668828070164,0.942306115617976,13048.1624091044,0.297265030220151
"41",0.880487493006513,0.938991666352376,13133.7054492906,0.314282325431705
"42",0.991632474120706,0.921200423431583,17031.5661211498,0.30238139173016
"43",0.886474349023774,0.935117237200029,15173.6750546843,0.275423177480698
"44",0.987920378381386,0.945706952619366,12177.4453343824,0.274478329792619
"45",0.824566044984385,0.938949631713331,14469.6235028096,0.289150176271796
"46",0.933498514210805,0.930735640414059,15854.0678722784,0.275278632808477
"47",0.988712963368744,0.919017035863362,19275.4814168438,0.284786598253995
"48",0.821499741729349,0.968563036969863,10568.8343150541,0.267175469454378
"49",0.854290431411937,0.928388816467486,18569.5466282777,0.270529194232076
"50",0.933744110306725,0.927227142918855,14878.6541982554,0.32247005937621
"51",0.8285358695779,0.923848320147954,17787.0261133648,0.326667544692755
"52",0.886888686474413,0.936240123515017,13706.7122361623,0.310070402119309
"53",0.921524625224993,0.945055115059949,12389.3451760523,0.289196551796049
"54",0.995946594234556,0.931455953768454,13959.2065266334,0.300707657653838
"55",0.846933715045452,0.95111682487186,11711.6190609522,0.306198365297168
