V1,V2,V3
187,1062,2560
155,1066,2333
169,1223,2899
191,1221,2841
157,958,2785
132,620,2325
135,1305,2452
104,902,2508
146,986,2595
221,1307,2428
174,1027,2402
124,1183,2507
146,1189,3042
143,1059,2133
156,1398,2484
148,1098,2471
163,1054,2749
194,1043,2469
190,1085,3059
139,1001,2633
129,941,2343
172,1071,2660
151,870,2503
199,1127,2746
176,995,2709
171,1161,2558
109,1191,2864
203,1116,2395
166,1254,1968
199,999,2711
154,1218,2358
119,1104,2746
185,859,2569
118,1049,2881
207,947,2406
164,1132,2734
127,1061,2743
153,1213,2295
159,1320,2333
124,984,2226
172,837,2645
107,1225,2300
152,1107,2911
188,1161,1892
104,951,2691
112,1133,3137
130,1243,2958
169,1051,2561
146,993,2592
230,1092,2230
141,1043,2453
174,1060,2578
140,1271,2712
198,1156,2800
141,992,2684
198,929,2489
162,1010,2130
154,861,2275
124,1076,2984
184,1140,2361
149,1032,2705
144,1083,2790
121,1009,2766
165,1045,2532
158,1138,2756
163,939,2958
169,1030,2747
170,1290,2659
205,1224,2407
153,955,2279
172,1220,2369
144,1283,2363
162,1010,1923
168,1044,2628
184,1250,2809
165,1184,2555
164,1147,2587
219,820,2602
167,1356,2242
199,946,2972
140,1033,2240
147,1171,2733
137,889,2438
182,1009,2273
177,1003,2627
134,1006,2276
158,1130,2318
119,1239,2941
165,1062,2501
166,1207,2496
182,1093,2511
218,1052,2956
151,883,2532
174,1197,2852
136,1189,2934
156,934,2492
155,1302,3172
167,895,2439
162,998,2740
156,1312,2407
168,955,2274
128,1064,2352
168,1210,2490
122,1024,2713
111,1152,2695
152,1390,2265
145,861,2618
171,905,2235
96,1171,2711
139,984,2564
127,1121,2169
175,1271,2060
159,1179,2299
193,1093,2270
124,985,2810
133,882,2642
153,1206,2715
184,1102,2156
126,950,2451
128,1308,2491
157,944,2252
177,1024,2846
177,1122,2423
157,1111,2395
116,1134,2520
168,1073,2237
146,1190,2729
158,1179,2551
165,1154,2465
165,1091,2720
153,1036,2331
172,961,2735
161,1054,2125
153,1138,2237
124,1154,2666
135,1012,2767
197,1178,2922
194,990,2699
131,976,2760
153,1461,2437
182,1031,1913
235,1001,2716
143,1248,2693
111,1117,2285
123,947,2103
142,1251,2186
194,844,2541
166,1018,2654
151,1022,2573
144,980,2643
182,1018,2503
192,1128,2478
146,874,2176
131,1000,2326
140,1165,2826
189,1245,2480
155,1190,2517
181,1111,2642
133,1037,2595
147,1042,2561
154,1090,2624
205,1209,2378
119,1179,2293
138,1183,2088
161,1120,2105
148,792,2580
171,1120,3340
121,1007,2525
148,1294,2720
133,1150,2348
154,917,2099
188,1056,2235
184,1042,2550
185,1046,2418
187,1105,2394
156,928,2640
159,1092,2630
126,813,2800
136,1225,2734
172,1036,2481
127,1012,2656
178,1113,2774
117,1081,2012
165,1054,2087
118,1078,2524
145,1291,3004
162,957,2336
127,1167,2361
178,1139,2497
142,938,2436
173,1096,2655
127,1134,2708
118,1061,2739
146,1097,2121
132,1036,3011
182,996,2891
155,1157,2860
125,964,2719
197,1144,3125
164,1386,2907
235,1078,2311
155,887,2491
192,1197,2243
157,909,2934
187,966,2782
145,1132,2215
155,968,2077
109,923,2572
148,1110,2602
169,1229,2266
166,1021,2383
115,811,2256
171,931,2557
110,1022,2583
117,1130,2847
171,1014,2641
194,1122,2266
180,926,2437
190,1118,2616
148,1067,2086
192,967,2609
127,1110,2323
137,1234,2796
178,1135,2135
152,1192,2910
98,1217,2275
182,1281,2188
159,1157,2726
186,1257,2298
138,1188,2813
152,1126,2819
162,1289,2292
185,860,2457
217,973,2684
182,1281,2467
240,1169,2474
159,1118,2514
158,1058,2196
189,1115,2591
202,1096,2244
189,1052,2127
201,1023,3298
200,1160,2239
162,1188,2518
156,1468,2339
128,997,2402
136,1080,2248
224,1146,2715
108,1068,2371
192,1024,2292
178,1323,2679
140,1048,2656
169,1120,2748
163,946,2448
199,902,2158
142,1167,2550
152,1179,2473
166,967,2521
146,1174,2583
138,1057,3057
134,776,2547
195,969,2769
135,1111,2752
142,1175,2525
116,905,1806
125,1209,2716
199,919,2376
191,1111,2572
170,1098,2598
158,993,2675
194,1055,2339
142,1112,2514
103,1049,2553
134,1025,2484
194,1354,2406
175,1043,2713
171,1310,2345
132,809,2810
155,925,2669
159,1226,3578
164,967,2515
158,1242,2015
183,1240,2186
163,1171,2220
132,1108,2552
164,989,2586
209,1201,2764
136,1003,2507
162,1131,2230
178,870,2517
167,1208,2890
201,1269,2973
133,963,2489
110,926,2489
197,1186,2402
123,1485,2325
138,1016,2559
94,1080,2680
132,994,2174
112,1185,2458
193,1008,2651
190,970,2366
145,1099,2789
170,1030,2558
157,1121,2639
155,1010,2536
142,1200,2874
125,974,2951
186,1164,2320
118,1068,2350
159,1136,2742
188,1237,2327
152,1200,2682
160,877,2472
128,1118,2896
221,1129,2737
193,1225,2808
117,1022,2330
174,1241,2745
129,1041,2648
138,1024,2269
128,1044,2514
113,1063,2470
132,992,2338
150,1291,2285
174,1062,2330
164,1096,2531
112,1157,2743
158,1069,3096
138,947,2220
149,996,3012
142,1311,2503
152,1113,2769
171,1114,2779
151,1076,2711
213,968,2691
131,1173,2009
125,1049,2949
137,1254,2604
133,1035,3169
136,1050,2559
212,1254,2249
172,1200,2472
128,1129,2472
180,1161,2408
188,1285,2661
146,1307,2347
187,1565,2611
177,963,2914
104,981,2216
173,1075,2642
156,985,2421
208,1260,2380
127,1205,2353
127,1089,2281
212,1109,2708
149,919,2090
154,1157,2500
129,1240,2330
167,1139,2496
129,1045,2431
121,1118,2870
116,1192,2338
146,1161,2672
189,1181,2408
131,1019,2577
136,1108,2995
106,796,2493
136,1318,3051
208,1188,2394
141,1028,2280
173,1360,2312
114,1046,2442
156,1056,2314
115,1088,2543
156,970,2403
196,915,2794
166,876,2535
95,887,2756
129,1191,2048
135,974,2984
225,1047,2178
167,1267,2619
127,1009,2385
145,1263,2152
130,1104,2414
146,1018,2145
162,1278,2862
159,1363,2522
169,930,2493
162,1141,2760
128,1097,2298
179,862,2256
172,1061,2478
179,1090,3237
166,1077,2624
131,1083,2541
137,972,2598
85,1128,2409
168,1105,2742
187,1021,2695
167,949,2220
129,1201,2061
125,952,2463
129,1272,2496
118,1267,2575
137,1177,2217
120,1177,2548
163,1101,2262
172,1044,2224
163,1044,2264
168,1345,2850
114,958,2908
190,965,2270
168,1173,2441
136,1211,2937
144,967,2754
181,1033,2900
140,1089,2880
137,1214,2466
134,915,2435
129,1197,2901
157,1099,2393
179,1171,2948
186,1102,2654
116,913,2153
145,965,2604
173,1085,2635
121,1120,3055
146,853,2585
183,1240,2210
161,1007,2539
174,1152,2518
153,1107,2837
158,1205,2678
159,1128,2434
194,1234,2606
155,1020,2148
144,1457,2409
164,1185,2034
160,1171,2824
149,1115,2817
137,946,2455
140,1001,2407
133,1001,2356
136,1104,2548
113,1256,2552
110,787,2131
153,964,2523
120,1219,2605
130,945,2366
147,1100,2362
171,814,2903
171,1012,2886
118,908,2794
182,1063,2792
161,1066,1952
131,1161,2399
161,1108,2428
156,1156,2476
151,844,2670
171,894,2553
201,1067,2050
157,1097,2867
172,1034,2344
166,768,2793
141,1129,2258
141,1135,2650
147,1105,2459
135,1011,2876
147,1112,2798
178,1117,2521
