V1,V2,V3
34,1295,923
71,619,2559
217,1226,693
193,823,3777
135,339,1170
58,291,2301
44,1393,2026
44,1564,2181
103,913,4947
156,1306,978
79,1702,1680
43,1156,1876
78,1720,804
41,1872,2422
20,851,1166
82,1888,7501
209,383,1912
31,641,1511
58,1294,71
55,1967,3485
66,1656,2616
134,109,1138
39,691,1655
45,442,2968
14,969,5966
49,430,2938
55,349,1938
135,327,664
16,267,1521
129,1297,4857
24,1223,4406
53,498,2424
38,302,4075
42,730,4364
102,1440,588
47,1149,1988
47,581,2279
84,204,2073
17,684,1018
61,685,4626
34,1724,923
19,1921,1497
29,502,2053
91,3151,5332
23,790,5175
56,862,2859
66,1377,1028
23,314,1182
216,1996,2704
197,1700,2191
59,610,3591
82,1616,651
223,596,1102
19,332,1482
20,1338,1027
108,1491,5495
124,517,3190
24,536,5117
83,1964,1834
63,1030,4451
16,577,997
58,1997,2502
115,1040,3695
84,266,2420
86,2738,643
71,757,2859
68,1225,2228
76,1059,2711
25,961,3239
90,456,1102
47,372,3304
100,826,1347
257,793,1268
61,901,3862
65,298,2148
32,869,1553
66,469,1084
143,1417,6363
105,773,4091
43,1619,2486
78,1017,1142
22,1438,1559
0,891,2811
23,911,2302
57,591,954
283,1107,2177
87,620,4967
31,930,2185
129,959,1849
17,709,5656
60,608,3846
25,886,3371
60,1312,3026
37,1594,1262
121,208,1123
94,1813,2293
73,1649,5822
124,1568,4233
76,545,1321
42,726,2849
255,1072,2355
98,1671,4059
64,1062,6385
118,807,1417
38,912,1518
67,418,1005
35,954,4017
82,1463,4367
43,1125,1705
224,657,1403
153,1084,2401
14,471,2704
3,835,1660
104,756,3788
48,939,1046
251,225,4220
5,644,1837
48,1132,5228
130,505,6563
218,913,1416
123,335,4554
14,505,963
81,1491,4205
44,1314,2988
44,472,874
24,365,1066
31,997,2887
22,215,1865
20,1132,741
160,1347,3594
39,937,1059
119,852,1515
38,1870,2668
129,1994,1484
209,574,2451
91,1592,2146
161,1489,2081
16,680,2273
19,633,458
180,198,1234
7,417,3364
91,1200,1770
173,289,3212
286,735,2219
38,365,1572
87,204,2365
55,1300,2445
59,1300,2218
136,669,3141
