V1,V2,V3
6695,25490,24080
5940,29195,26150
5820,26920,29875
6930,27600,30950
6660,29955,32545
5930,25085,49235
6435,24650,18225
6585,22550,23665
5670,16890,33980
4450,19650,37405
6480,14440,28965
5755,24050,55880
6470,30245,39420
8280,16490,42610
5360,17650,22535
5130,16505,30560
6495,16790,44655
5890,16535,36875
6365,17075,31420
6880,26630,36645
4950,18945,41595
5670,20490,35290
6420,13480,32220
5125,17005,23515
5070,16685,54715
7260,23110,54455
7040,15485,32630
6720,14665,26455
6910,22055,29465
6585,17130,28420
5970,23765,32375
6175,14895,27150
6165,22160,55375
7880,24980,58685
5310,15685,34055
5465,16925,35305
5560,24555,51870
5665,18350,34640
6715,12215,26430
8045,19030,35185
6740,22875,23570
6675,18490,31175
5195,21620,17730
6080,19025,26175
6740,26010,20000
7060,14060,28350
6630,22375,22705
6395,20225,28560
6970,17015,27815
7460,18100,51825
5305,15595,64590
8150,20225,29700
6465,27045,37095
6025,23015,48290
7175,12880,23670
5085,16120,27975
5645,21325,51700
9020,31060,20690
6165,20350,25840
6130,21210,56655
5515,22625,28470
4805,19270,38820
6430,21490,34420
5565,18810,34685
6800,18600,21215
5595,17530,44090
6650,25095,51740
5600,16065,37930
6285,20190,30470
7295,19285,29430
6215,20060,25705
5665,23955,53275
5790,24220,27390
7445,22935,30090
6055,19090,47445
6120,18485,29975
5770,21280,37245
6640,23790,51355
6155,21380,21870
5310,28515,34560
5710,17460,33485
8280,21265,32930
5645,20900,48315
6720,13930,39700
6695,16500,38425
6200,20430,58820
6715,19595,39955
6115,19315,46450
5005,19675,19850
4965,20200,20930
5565,21720,23465
6520,23255,34015
8320,20705,34670
7330,21230,26715
9365,21785,29895
7715,31435,28950
6205,24365,36685
6400,22245,39195
5860,23540,21135
8740,17955,25940
5990,29335,23765
5330,13840,34665
6485,18790,23280
5760,15235,35455
6475,28940,37245
7020,14875,30290
5675,20285,57245
4270,22005,27605
5815,22540,43870
6380,23625,49210
4880,12060,33675
5280,20110,34165
5080,14835,28470
6635,23625,29915
5970,21675,35700
7685,16290,37970
5825,33400,44770
6955,16430,30515
6715,21480,25605
6945,16455,35340
7630,14890,34130
5040,26515,30245
5145,22585,28730
6045,24055,32705
6855,13795,39650
6540,16495,24105
5820,13520,33135
6690,15770,26530
5970,37125,27220
5045,19800,35525
6845,15935,40845
6390,30660,26655
4900,25485,42895
5815,15925,39640
7015,16440,35390
6850,16130,46815
7350,19240,38170
5525,21875,39740
6730,19485,38855
5615,14265,53630
6185,25680,70265
7005,19460,39315
6210,22115,26225
6470,13950,35145
5825,20475,32165
6310,25850,49065
7885,14295,38385
5875,20135,31165
5800,21705,29115
6495,25305,46700
5390,22420,39690
7885,21860,32295
6035,16540,26955
6130,17310,49585
5125,26010,39515
6200,23170,25270
6645,21880,44290
5240,23865,38595
6335,20810,50115
6350,19615,35210
7155,21375,32965
6520,22695,35040
4135,17210,29230
5380,19910,31325
5215,21145,37490
6905,19565,30195
5740,14100,34745
6125,17425,31475
5235,12680,37770
6905,21080,30055
6540,16190,29985
5705,15440,21250
6930,21545,27725
5685,20015,33850
5155,21765,39060
6585,19810,31155
6345,18395,38840
6860,17860,22150
7405,18615,47030
4815,26040,38570
6520,16470,34185
6190,20170,25595
5590,22890,25245
6495,20165,32265
6415,24820,34845
6945,14695,40480
6405,19195,32950
5785,14435,50095
6250,16730,40610
5710,17140,34370
7185,18605,51660
7080,29655,26315
6785,22995,30155
6170,15430,32130
5260,15485,30475
6025,27250,32325
5815,21805,21325
7730,18990,35885
6715,24850,52690
5325,20090,31620
6530,18370,15300
4855,19895,50985
7240,19275,41560
5690,23060,28625
6610,18330,38030
7845,35205,26390
6325,21915,21995
6385,16090,34095
7290,17275,34545
5775,16770,42845
6270,21380,27280
6265,15685,57485
5875,21350,29985
6705,17290,37360
6050,24140,42155
5825,18725,32055
5050,21010,27125
5845,21875,23155
7305,16645,48575
5545,14925,36455
5815,19660,29565
7485,24175,35810
4915,28445,43360
5440,23230,35955
6040,26015,29895
6085,18630,51500
7085,17280,33090
7740,16905,37995
6175,24635,33070
6865,15855,27310
6205,19690,24685
5340,18055,24765
7025,17365,33710
5870,12200,39615
4540,21640,28380
6355,24990,22860
7115,17080,29315
6965,20365,33540
5805,13390,21675
5890,23100,40850
6335,13660,46110
4935,16255,41930
5680,15745,51105
5415,12370,27050
6510,13935,32210
6880,16845,28790
6870,15475,36980
5005,22240,22130
6260,16745,31525
5355,19845,31545
5880,18405,35390
6570,13085,45875
8530,21945,21835
6960,19080,25600
6890,16895,42805
7315,20755,39715
6380,17985,30225
6690,15150,45910
8355,23705,42700
5425,14050,33010
5905,20295,30600
5570,30415,28865
7285,22995,35900
6585,23610,32385
6045,20630,39320
6450,20165,38110
6860,20365,23825
5690,17895,30735
8040,20910,39340
6175,15745,32330
6125,22055,32835
6470,15155,30410
4900,32565,40730
5685,18305,40675
5475,24760,23255
6400,19860,43760
6775,14980,53790
6040,24970,35650
7020,23045,28695
6515,18335,39400
8655,23790,44520
6365,19985,63730
5985,16725,29325
5805,19540,31515
4045,16350,37055
5905,29445,22230
6705,25585,31170
5565,18905,56770
5630,30180,43995
6695,16030,23115
5905,26930,35985
5405,18055,28400
6780,14675,36400
5850,27005,71470
6485,21115,40950
6470,22690,26210
6695,25485,29895
6185,15590,55035
5695,25855,24265
6570,15660,30965
5190,21630,32265
7225,22605,46155
6470,16725,35125
6585,20030,44685
6290,20775,36480
5910,26035,19655
5580,18070,24500
7190,18495,36820
5940,14320,39040
6190,18120,49270
5990,27720,41590
6030,24965,23705
4950,19995,29035
5525,19815,21325
5485,24335,52465
7005,18265,30765
6320,22280,55470
5830,23650,24115
6845,17455,51945
6525,17585,34120
6585,21945,26120
7105,25450,56970
6150,17240,39780
5850,17190,35785
4690,21835,26360
5765,9740,40885
6390,12235,44910
6875,18075,26630
5415,19995,33340
5870,18035,36265
5400,19750,41270
6240,21395,40610
5790,19745,31270
6840,22260,47160
7105,14280,39270
6825,21895,37725
6100,26340,23075
5995,28710,33305
6160,20045,25350
5350,23720,30900
6275,28850,34890
6760,21530,33065
6690,13190,23640
7265,21485,32450
6275,21295,57770
5995,18985,24610
5535,21185,31175
5965,25185,27470
4480,18325,27455
6875,18905,31445
5975,14665,36940
5605,18950,39940
5955,16990,46050
4895,13950,51185
6410,16095,36365
5825,18895,42295
5245,27870,30545
5765,24745,57575
6855,22280,22855
6400,11555,29505
6245,19025,64470
6610,17440,26260
6490,21470,54595
5940,25400,40110
7655,26340,16060
6575,17025,37825
5040,12970,35905
5020,17360,34005
6615,16240,38890
7095,20120,25645
6115,20470,23505
5635,18580,27580
5920,20610,25970
5075,23915,40700
6570,17850,26165
7075,20180,28420
5640,18650,34165
6635,24045,48595
5865,20290,45685
5375,20165,30850
6090,24270,45625
6580,22650,64460
6315,23555,43090
5515,17055,22195
5645,17070,45150
6995,13885,38860
5930,19640,25830
5355,18585,40515
5765,18790,27825
6465,15590,36475
5460,33675,27620
5650,25225,21110
7905,19970,60315
6965,19335,33205
5835,14645,25040
6245,15390,32700
5115,27125,35500
5740,19205,39960
6425,14070,22945
6510,17280,35550
6440,27350,45595
5585,15890,28310
5545,33765,26325
6260,20095,49310
6080,21605,34665
7650,19020,36665
4955,21180,28230
7580,13445,25915
6275,23070,25870
5605,16700,28130
6225,20475,41910
5915,14110,48160
7005,18895,28595
6420,25330,43365
6800,22320,42130
6850,25875,48800
7060,16955,22560
6975,23960,35615
4895,16505,27160
5685,19155,35245
5610,23815,25830
4465,19235,42080
6275,22910,33975
5775,15185,23775
4875,22445,27790
6035,17530,57175
5130,22205,37535
7130,16620,22705
6685,13750,31750
4685,26235,43200
5505,22830,33285
7860,19960,44005
6450,23175,36420
5510,14560,39495
6105,13435,24670
6630,22820,19410
5320,19325,43450
5475,25005,36285
6635,17235,26375
5800,19270,47025
6855,13300,58770
5975,14740,39965
4765,19190,25165
7850,23465,23850
6310,15910,32600
6405,17350,34515
5620,18180,37080
6060,14440,22300
6850,25505,29025
7010,13445,43475
5960,24910,29905
5930,17940,29200
5870,17940,43335
7465,13740,43630
7260,22935,32640
5625,13485,46865
7390,14155,35430
7100,20170,42260
5305,16090,48255
5385,15205,27625
5575,17880,26865
6500,16320,32530
5710,18875,36730
6735,16155,45425
6905,13645,54070
4775,25595,32980
5675,18115,35065
4955,17125,35025
4910,20410,40780
6675,14675,35590
6975,20055,37345
5345,23055,46140
5690,31305,25070
5150,28120,18440
6605,18710,31715
6790,24125,38015
5920,20505,27060
7285,17330,26750
5945,14435,28365
6575,16375,26120
5315,19110,25720
5685,24965,42990
5135,20855,30440
5055,27600,41215
4705,27590,51010
5105,15345,36945
6900,18710,37915
8215,16605,45885
5910,20345,32180
6940,21865,35825
6980,18645,49105
6580,20290,40810
7235,19040,50900
4885,21575,28540
5440,17045,18535
6415,21565,28650
6865,19040,31845
7070,17285,43435
6500,20070,36635
5070,23200,43950
5710,18825,22745
6060,21870,22155
4800,17360,28155
5795,17115,23955
6315,22670,44255
6055,20675,41775
6380,26040,29850
5670,22740,33320
6360,18845,28135
5995,24950,21150
4970,15485,42050
5455,17210,30070
4650,20075,25785
8170,25540,34545
6975,25855,37395
5670,24575,29810
6375,15585,28355
5720,13820,30705
5300,21330,28355
5750,19285,30995
7120,27565,44850
5705,16020,27190
6600,15655,31590
5340,21050,32285
6595,19530,32710
5415,27170,35675
6135,27345,40875
6330,17860,32605
7175,21060,47715
5470,20070,24785
6575,15935,49700
7205,18175,35035
4545,21215,38500
6745,18620,39465
6055,28750,55260
5300,14845,18605
5685,16655,37030
7685,20220,25305
5335,17335,39310
6670,18000,28085
6405,14345,31820
6470,17910,40070
6430,22350,49125
6235,20460,41095
6170,17880,31450
3865,20875,25805
6490,21545,29895
7030,14570,47185
6145,16475,26205
6760,24415,63895
5585,11905,29135
5730,15610,36375
6590,17985,30605
6470,17845,37185
5375,25990,46095
5815,20555,37670
5720,22225,30315
6330,14225,59580
6350,17080,36535
4825,16490,42705
5270,20720,18700
6520,20925,29285
7245,24685,51690
6125,21370,40550
5305,20160,39825
5750,19130,45230
6415,16855,33600
5530,14715,25220
5295,15305,39790
7165,25175,48955
5455,18915,64845
6755,15340,29285
6240,14810,36590
6685,20225,34995
5335,23360,32850
5335,28740,18205
6040,34275,55730
6765,24920,32000
6420,12755,25505
6145,18355,42345
5335,38320,38390
5870,17870,41420
5285,31995,36440
6885,25565,34370
5335,24310,52340
5560,24290,19675
7495,21100,35250
8945,22540,53215
6890,15615,35610
6025,14350,47650
6850,13185,65185
6410,21760,19770
6690,19500,45130
7305,18545,36480
5130,19425,21320
6565,21225,28670
6680,26890,28840
5890,24300,38320
6600,22825,53940
4930,19435,68320
7230,14580,35015
7075,23350,35920
5870,18110,30875
6550,23780,44975
5715,20630,38975
6095,16195,34515
6085,30115,36745
6150,14280,33765
7260,16985,24730
7075,19520,33325
8635,22545,28645
8195,25905,28585
5505,17725,35430
7185,36005,27970
6555,17450,30385
5690,19460,29805
6325,26995,29425
5880,25330,41655
6455,15580,25400
5045,20335,39620
6670,16815,32290
6155,21315,22715
4135,15610,28525
6445,17080,43105
5390,24290,33990
6525,22245,39510
6145,34075,26430
5825,27340,21110
5925,23710,34080
6945,20470,35785
5970,23115,23730
5045,15895,47955
5285,17875,28725
8755,16730,32700
5425,20985,35105
7415,18775,40140
5495,28490,21005
7485,14145,42700
6480,17595,41855
5755,19575,39690
7080,18585,39800
4880,19860,32015
5345,16815,38730
5225,30630,44605
6495,21330,33315
5845,14795,32330
5660,18530,34930
7420,25570,41620
6800,23755,40325
5980,21955,42895
6770,20075,32565
5415,14275,44300
6490,24115,58400
6160,20240,73830
7290,23350,32435
6390,25785,41960
7675,20185,34570
5825,18100,29000
7025,19145,41500
6735,20680,30425
6990,20775,35480
6965,20765,45565
6470,16330,29125
8340,16645,24120
5605,22710,33465
8045,21715,18625
7690,12395,49270
6825,16720,47890
6685,32470,37645
4895,18695,33130
5095,20725,22500
6155,25080,28900
6760,12985,45340
6225,18130,31135
5420,17380,20575
6590,18070,41470
6760,16680,43450
5870,19425,40060
5955,25675,33205
6750,15190,23895
7860,20535,63795
7050,17520,26100
6765,22695,34040
5300,16610,30700
5585,19900,51100
6895,23075,53850
6495,21650,49400
5855,18910,43550
7310,18735,48040
5525,29705,32040
5915,24395,35575
5720,21845,41045
6860,31845,43530
5845,21595,28385
5820,18400,38770
5810,11475,40055
6905,20570,26635
6880,21545,33045
6005,19065,23835
7815,19075,53170
6090,18310,38160
6010,22950,42390
5715,14555,45010
7230,19380,27705
6215,20815,40585
6265,23600,41245
6055,24875,42915
6415,19890,36360
5815,20360,32375
5845,15370,26980
6120,24670,47550
5565,22160,27860
6330,23200,24275
7985,21880,25480
6695,21550,37320
7470,14055,32590
4875,20540,19340
7460,24205,21755
5970,16765,21010
6395,24915,45045
5945,15965,31650
7570,15890,40650
8025,14810,47525
6030,26325,47650
5515,21640,23830
7075,27605,40675
6560,14505,27455
6185,21185,29315
6505,15730,44165
5575,19470,36470
7110,21940,31405
5365,23690,41245
6630,21625,24805
6010,22145,27625
5415,15745,69550
4415,21920,33440
5320,20880,27495
6610,18540,29885
5725,13650,35620
5980,18915,27080
5715,19725,49365
7175,18550,57780
8370,22780,25020
5860,25265,36165
6075,21205,33075
7995,21615,27980
7245,24860,51570
6065,18290,25755
5800,16430,37525
5690,17425,39490
4705,17690,58685
6155,14675,30055
7080,18775,40330
5140,18265,36175
7645,15775,25730
5890,18405,32615
6090,19880,28625
5210,21940,42685
5280,19210,30660
7860,14150,24930
6035,30440,33185
7000,18080,35610
5285,22365,34485
7640,23215,37410
8750,25285,43700
5925,19300,40615
4925,25800,26560
5990,23875,30525
4235,19395,35680
6730,20200,47520
6750,20660,29975
7110,26735,32965
6195,23670,22015
7290,16265,37415
6975,16235,37470
6310,18970,32725
6315,21405,41160
8405,17055,33830
5860,21940,35950
7045,17955,32995
5400,27880,21915
4845,30505,26335
6645,19000,60805
5915,23415,32055
5105,26545,34285
5830,22715,31725
6105,23860,37425
7575,19320,37205
5765,19075,46555
6875,18650,35165
6335,20460,40985
7165,14495,29770
6900,19965,38530
6995,20610,36875
6395,26370,43600
7080,17670,35415
5790,17430,31855
5710,14925,39820
5860,18055,41445
7730,17675,27630
6120,18615,25320
6730,18405,37900
6825,23535,43480
5690,12255,31045
4805,24350,36750
7125,22510,43415
6030,20465,29840
6525,16175,27920
5960,27655,37130
5470,22320,30305
6560,20340,35870
5660,23835,43725
7930,25145,28480
7105,25680,37965
5630,23265,17555
5780,22920,29575
6425,20320,25610
5730,19705,28995
5560,22625,51585
5150,14830,28510
6290,18210,39300
5220,14220,29020
5985,27570,41525
6700,17390,38865
6280,21225,38250
6985,22245,48415
6065,15400,24430
6375,24505,32170
6790,15355,44160
6040,18040,21850
7450,15910,27745
6885,19770,39860
5130,18360,34150
6460,27645,39075
7475,29745,22360
7300,24345,40360
5970,18025,37765
5960,22670,36310
5465,20555,30940
7125,15910,55345
6415,16990,40880
6835,20515,45835
6135,29870,50850
5985,20595,37890
6125,17365,36740
6940,19940,45090
6085,16845,56700
7695,19170,35830
6900,20875,36975
6085,24410,19055
7830,23650,45300
5570,21575,29190
6540,17975,36785
5210,19785,24675
4535,25860,40200
6135,21240,35415
6035,23675,46490
5740,22130,38970
7005,16810,42100
4965,17300,34850
5810,12950,30125
6015,17485,48305
6320,16085,32750
6130,22860,26510
4320,20070,31840
5970,26615,46010
6175,19070,37095
5985,18580,38320
5350,19020,30760
5745,12880,29305
5535,12320,50030
5370,18520,45185
6950,20875,37920
5585,20440,34285
6130,27055,28180
6005,27605,37870
4535,17000,49315
5715,16635,41305
6280,28490,38525
6820,29175,19575
5000,23375,40765
5530,12300,39180
5720,24185,20615
5830,14200,34425
6420,28140,15700
6360,16555,50945
5485,15000,33335
5360,14900,33915
5845,16010,34120
5365,14620,29710
7215,16865,45815
7130,15635,30860
6130,15120,34460
5855,24705,35765
5660,19665,30055
5050,16925,38575
5350,22285,44660
6065,28425,32210
5790,18995,50300
7035,23370,23690
6610,20550,34655
5030,16960,31525
6205,18055,43305
6455,16605,37380
5680,22805,25970
6410,17870,22680
5970,16340,46140
4430,15670,26700
6970,13885,47260
6980,24310,23970
5420,16305,48910
7595,25660,27455
6550,14835,27670
7310,19325,44705
7010,20150,36215
5875,14370,26020
6310,18815,40315
6390,19165,25385
7680,18220,27635
6495,14725,42410
6125,19465,35965
5110,17995,25005
5115,19265,49050
6185,21805,30190
5200,18845,34275
6670,21090,33405
4815,23050,28715
6210,30300,34735
6350,22745,51955
7015,15005,39525
5735,24945,44890
5575,20945,55265
5840,20960,23940
5735,20520,40510
5610,21190,35765
7215,13585,25960
5485,21020,35790
6635,20535,37040
7115,24815,58675
6830,15910,24375
5875,19790,43200
6565,17200,35485
4820,21695,34620
6700,19210,36570
6975,21020,21630
6025,16975,42865
5115,23795,30650
7375,17340,35330
9005,13570,25625
8005,16835,27055
4950,14085,38510
6240,24110,50880
6070,11855,69180
5810,19060,36205
7560,18465,46825
5500,16745,50030
5745,19160,35090
8130,19660,47105
5530,22710,41470
6240,26485,42705
6595,26470,57970
6245,22175,20435
5490,21625,30830
6130,17745,23845
6140,22995,26180
6875,20940,72600
6165,32190,38905
6370,20070,37045
5120,19935,50725
5770,16395,30085
7080,20905,25195
6850,18305,35145
6120,26780,36870
6645,26395,58965
6280,20580,32205
6635,18835,31420
7850,21730,28235
6800,14950,45595
5760,16615,38335
8335,32320,28910
5635,24455,31370
7120,19205,27200
6770,19245,42360
6305,25980,31130
8370,13595,14920
6255,26220,30345
7535,20725,42065
6195,14765,39585
6110,22150,25475
5520,19145,30430
5100,16575,21110
6225,26325,39170
6830,24975,36005
7290,17535,30565
6415,17905,18440
6495,16875,49895
7665,20300,20645
7195,18560,50410
5330,19400,35805
7045,16210,48160
