V1,V2,V3
147,645,1357
115,1063,2053
83,1297,2255
254,446,1858
129,703,2106
70,548,2316
97,1052,1232
108,364,2922
143,613,2015
41,644,1011
148,628,1588
198,831,1591
146,788,2725
126,800,1661
103,453,2084
88,880,1232
181,1468,932
136,977,1923
121,878,729
130,795,1679
155,703,2004
67,992,2352
231,749,1179
97,1366,1153
108,708,1583
87,752,2949
76,1057,1132
178,785,1293
83,1255,1083
63,714,1920
152,640,2625
130,833,2837
148,949,1978
195,343,1476
124,775,2530
171,1222,751
172,999,2233
242,784,1555
88,1003,1563
93,1071,1332
115,1086,1965
88,1065,1048
157,757,2042
102,776,845
72,1407,2826
238,506,2802
102,454,1353
152,1004,1224
108,891,2257
121,534,1389
88,900,899
100,808,2275
108,1535,1627
201,1070,2320
258,522,1452
161,231,1789
125,1037,1406
114,388,1127
125,862,1083
68,723,1164
91,628,2358
176,1184,1041
142,789,2307
166,573,1456
107,338,2189
175,1225,1440
145,851,1333
154,867,724
175,625,1495
142,756,1655
114,807,720
129,1206,2986
79,912,2308
230,830,2222
91,1099,1494
159,766,1534
62,929,933
96,1010,1055
156,458,2291
42,1266,719
130,1222,2762
70,458,1264
226,422,2520
127,781,2329
123,731,2291
130,1217,2341
160,368,2226
97,752,1397
166,642,3519
91,502,1018
103,1009,1358
83,777,1726
125,860,1579
79,1101,1578
133,398,2370
49,788,1155
88,875,1176
121,649,1857
83,649,2278
60,511,2242
139,740,2716
143,561,1879
249,550,1495
146,955,1409
79,538,2702
118,902,2211
153,795,1557
55,1425,996
59,1272,1590
87,862,1469
214,966,1163
153,624,896
92,1505,1384
125,562,2236
136,655,844
147,784,1499
210,440,989
98,715,1112
112,1250,3139
158,478,1638
94,622,1708
119,758,1992
134,884,1857
39,504,1323
145,1038,1703
124,604,1810
110,1419,2868
104,750,1714
107,850,1634
73,640,1497
125,866,2706
105,875,1373
91,973,781
171,573,3338
105,970,2665
85,593,1499
58,891,1247
192,562,1657
126,645,1466
168,1265,1013
171,1104,1690
85,603,2091
123,783,2105
150,1102,2937
93,910,3081
39,896,1800
154,850,1897
170,1249,980
133,839,2135
115,1178,1019
110,1140,1945
110,793,1213
160,765,2060
127,415,1236
128,1611,1998
132,755,1435
143,616,1751
56,921,2036
92,694,1158
98,420,1202
119,577,1763
128,1302,2717
101,1282,846
244,640,1409
108,911,2076
74,747,1980
81,858,2214
123,760,2272
169,616,1588
171,1365,1516
214,497,2163
114,1033,1645
141,1303,945
216,1229,956
131,823,2885
74,481,1722
131,713,2035
167,1027,1634
113,722,1051
60,953,2826
78,469,2417
204,1592,1930
155,383,1578
144,656,1502
141,673,1542
73,1186,1866
138,438,975
152,646,2450
106,1266,1308
56,1456,2980
102,931,2477
122,405,1721
104,1356,1263
184,982,2215
86,951,1321
132,729,1512
155,772,2911
69,859,2249
198,1179,2374
79,716,2355
110,670,1951
96,660,1312
47,845,1125
119,1411,1419
83,1182,1909
143,1211,1796
116,842,1792
231,841,1171
84,582,2003
119,1575,2139
141,746,1284
135,1073,3791
93,997,3071
99,677,1955
75,757,1094
82,607,1700
110,751,718
157,644,2290
74,755,1600
149,427,2861
145,840,986
100,961,765
62,469,994
175,814,2497
213,859,1308
83,691,2391
86,1184,730
86,514,844
107,932,1209
106,691,1326
111,521,2383
54,991,887
150,644,1364
103,1055,1482
134,525,1586
61,248,2784
84,619,1235
112,810,2681
60,657,2660
62,486,1646
87,998,1792
103,731,2269
123,697,1807
95,821,1809
112,636,642
90,654,1564
146,590,1652
106,384,2609
101,418,989
136,1070,2064
121,460,2026
199,537,2033
115,951,2016
96,858,1434
137,653,2227
164,923,1318
161,512,1278
101,1178,3711
106,554,2008
175,613,1959
158,596,1860
125,1326,1231
238,414,1209
100,916,2128
148,676,1881
75,898,1009
117,1250,1952
84,723,1530
184,743,1740
73,1071,1131
113,908,1416
77,1393,1146
175,790,2426
141,1183,1663
91,1800,2207
53,896,1864
144,504,2131
140,503,1191
128,1165,1716
102,1103,2085
126,474,1772
182,1429,964
80,1162,971
60,562,2042
75,591,1705
108,564,1369
53,911,2791
106,851,1573
89,784,2686
79,408,2788
79,906,2404
121,840,2927
204,1072,2942
210,836,1354
143,644,903
159,1000,1152
137,835,1907
60,846,2008
109,922,547
134,797,1760
123,1153,1161
60,569,1091
91,662,1995
202,938,2748
111,971,3086
83,550,1021
134,321,1734
102,1304,2410
141,461,1411
144,1050,3194
91,339,2025
74,812,1338
113,579,3144
166,723,1182
231,835,832
152,580,2144
115,1004,2918
138,435,605
122,617,1248
151,793,1315
170,1040,1656
88,543,1002
155,1073,1969
92,577,1676
