V1,V2,V3
566,4965,13132
502,5161,11087
656,4837,12419
493,4987,11010
583,5108,12386
624,5237,12576
584,4646,13005
597,4508,12240
582,5070,12527
580,5069,13707
644,5237,13167
589,4643,12895
399,4058,11389
463,5008,12780
542,4418,9280
460,5221,10572
533,4963,12664
555,5101,11529
511,4624,11216
530,4361,12414
599,4761,13688
467,5015,15399
599,4479,12687
463,4876,13181
480,4314,13340
723,5098,12085
596,4859,10705
654,4738,12510
590,4629,11809
550,4637,12819
522,4846,11247
530,4924,12349
573,4231,13667
486,5132,11161
474,5271,11827
558,4482,13271
529,4607,13453
421,4573,12875
470,4496,14876
581,5426,13238
551,4853,11491
691,5005,10431
500,4661,11966
620,4577,13151
517,4394,14407
490,4622,12479
546,5165,12595
543,4214,12168
504,4663,12708
688,4813,11600
525,5458,9413
619,5648,13439
424,5057,12014
493,5365,11381
511,4497,14546
613,5045,13775
579,5111,12542
592,5264,12910
498,5288,12799
488,5391,13289
690,4776,12678
645,5628,11348
533,4812,13246
537,4473,11365
497,4432,12177
465,4726,12119
589,5389,10953
626,4575,13738
566,5324,12006
460,4322,11442
468,4506,11028
473,4462,12852
588,5208,12073
492,5206,11623
536,5278,12485
607,5249,12494
513,4448,13404
584,5169,12663
472,5094,13785
518,5400,14111
492,3518,11386
569,4488,13387
541,4767,11999
528,5233,12131
550,5059,10623
630,4736,12941
443,5140,12174
515,4656,10413
506,4878,11436
368,4643,12661
647,4669,11308
543,4201,13831
523,4650,11255
559,4039,11829
606,4608,11108
517,5103,12516
511,4836,11214
478,4708,12263
439,4807,12320
597,4174,11819
612,5284,11116
425,4738,13357
521,5185,11812
598,4877,14119
543,4529,11436
474,4344,11580
444,4364,12620
522,5520,13137
595,4719,12581
520,4457,13178
486,5014,13055
354,4788,11446
464,4861,13191
465,4891,13996
501,4346,11328
563,4488,11511
504,5315,12571
564,4212,12802
481,4535,13385
408,4295,12223
591,5061,10752
665,5479,12830
550,5328,11584
555,5289,13853
552,4704,12092
516,5499,12242
503,4989,12477
535,4835,11843
489,4478,13029
591,5350,13382
763,4672,12237
572,4507,12496
414,5571,12940
525,4563,11924
539,4870,11924
441,4610,13729
489,4497,12475
538,4545,12281
638,4584,13799
572,4652,14027
607,4894,12631
594,4847,11881
503,4865,12959
474,5776,11622
552,5006,11668
661,5227,11105
423,4716,11129
496,4296,12617
598,4936,12022
566,4822,11369
478,4761,11857
543,5029,12019
530,4993,11444
462,4107,10805
521,4684,12332
520,4715,11506
661,4550,13269
452,4394,11627
495,4729,12345
409,4882,13008
549,4921,12059
486,4522,11465
542,5275,13111
561,4676,13049
514,4768,11468
553,4673,10390
461,4327,11988
588,4807,12552
534,5397,13579
579,4948,12613
436,5034,12704
587,4945,11185
461,4810,12441
544,4988,13045
428,5259,12701
502,4891,13229
553,5025,12299
529,5559,11582
621,5009,13561
478,3823,11160
538,5793,11699
502,4246,11817
547,4831,13183
519,5271,11710
513,4451,14091
462,5711,13817
591,4646,11852
519,4207,12254
578,4375,11920
444,4352,11744
616,4902,11904
650,5138,11784
499,5352,12360
492,4341,12902
578,5004,13608
570,4418,11394
717,4392,12724
537,4353,13165
441,4532,12078
578,5369,11879
507,4848,12325
493,4526,12508
586,4786,12136
538,4864,12549
501,4833,12416
560,4927,12394
447,4467,13746
452,3845,13043
617,4543,11508
550,5240,12376
610,3967,11877
426,4574,13933
670,4748,10403
521,4546,10901
595,5087,13473
465,4600,12224
486,4207,11772
444,5417,11770
503,5360,11417
660,5155,12114
566,5035,13765
611,4353,12275
527,5306,11624
512,4538,13758
454,4843,11754
486,4717,11578
504,4660,14652
387,4909,11907
485,4465,12571
591,5096,11238
542,4795,11774
625,4404,13099
532,4883,11540
595,5067,11741
571,4867,12481
563,4750,10325
587,4912,11004
484,4738,13333
663,4401,13619
688,4336,11634
589,4587,12818
474,4904,12258
573,4637,11506
561,4934,13251
