V1,V2,V3
3473,9937,15827
3738,11537,20352
3863,9799,18495
3828,9923,15390
3837,10946,19177
3517,12150,19877
3543,9545,17157
4156,11733,20210
3150,11126,18850
3679,9665,17965
3293,9878,15478
3537,11379,18358
3613,11296,20731
3650,9777,19083
3070,9897,20003
3384,10550,17619
4035,9516,16462
3437,12893,21084
3567,10064,19170
3858,9308,16647
3256,10208,18909
3293,12651,17258
2537,11456,17997
3825,11553,20162
4087,10469,18474
2901,11715,17452
3778,9291,21567
3457,9120,17268
3281,12317,20712
3845,10465,21209
3839,10565,20687
3198,10704,17155
3276,11253,17789
3709,8666,17872
3545,11609,17861
3724,10244,18748
3574,10146,17945
3197,11898,17639
3562,11518,18172
3101,12885,18352
3696,10116,19738
4096,9285,16499
3865,11686,21824
3672,9339,17643
3650,11575,16930
3160,10184,16311
3474,9557,20082
2912,11848,17703
3728,10618,19167
3819,9613,19791
3481,11305,17811
3840,10440,20427
3609,9485,19345
3217,9400,18695
4209,10987,19853
3527,9890,19670
3718,11976,17446
3746,10289,17286
3465,10986,18566
3132,10634,16615
3389,10545,19856
3638,11937,16446
3390,11473,18082
3521,11626,20907
3756,12161,15555
4025,12462,16161
2923,10329,18228
3254,10992,17702
3772,11062,18807
3615,10504,16680
3948,11026,19000
3533,9643,16980
3359,9170,17026
3549,13544,18489
3216,10122,18991
2926,11097,19378
2981,9340,19260
3451,9639,20448
3739,11196,16651
3119,10682,17442
3394,12220,15797
3343,10045,22896
3639,9288,19739
3377,12258,16259
3845,10421,20115
3473,11237,20650
3745,10747,20924
3722,8801,17489
3091,9892,20253
3805,9640,18645
3400,11598,19936
3017,9281,18785
3566,8373,19834
4232,11578,19114
4057,10643,15115
4021,12295,15318
4171,8154,18518
4126,11099,20116
3718,11152,17281
3489,9269,18807
4118,9234,16709
3621,11257,20625
3246,8956,19279
3194,12797,16617
3588,11558,18257
3808,9771,17445
3431,10145,17610
3233,10733,16498
2928,11757,16960
3867,10748,16433
3360,9389,21531
3309,10929,14463
3314,9341,16794
3480,10246,17255
3314,11319,16530
3657,9347,17406
3889,10129,18376
3522,9682,19392
3424,12262,19119
3311,9765,17191
3176,10986,16694
3043,10451,17400
3432,10790,18973
3631,10610,19075
3800,8762,22824
3464,10144,18738
2888,9921,17227
3536,10025,18960
3182,11782,16569
3545,9718,22651
4091,12462,18330
3692,11296,20528
3260,10330,16549
3091,10831,19983
3725,10981,19997
2713,9851,20186
3703,8587,19976
3284,9474,20059
3874,9545,19889
3624,10552,20584
3909,11054,17978
3355,10282,18176
3492,10328,18766
3869,11723,19671
3468,10619,20880
3164,11574,19599
3337,10375,16952
3623,11268,23694
3376,11353,18809
3447,10585,19612
3195,8725,18689
3638,10269,16157
3604,9879,15549
3831,10041,16894
4223,10632,20008
3196,10970,17179
3812,10912,15454
3670,11639,19658
3146,10329,18217
3430,11192,19216
3831,11488,20302
3411,10069,18041
3759,10773,17509
3517,10832,15977
3352,11668,17833
3248,9284,21554
3186,10666,20825
3253,10804,21480
3766,11102,20617
3484,9543,18861
3977,7903,21127
3415,10875,18540
3971,12198,18012
3113,10944,16341
3540,11801,19574
3485,10491,16956
3087,11312,18713
3363,10716,20155
4237,10208,21174
3453,10207,15173
3348,10413,19072
3528,10533,17819
2820,10292,18897
3786,9853,18989
3358,11941,17985
3208,10334,16989
3858,9507,17779
3397,9496,17605
3627,10564,22485
3290,11217,17416
3442,10168,16276
3032,9156,20005
3345,11120,16216
4057,11024,18132
3538,10157,18350
3443,9938,16961
4210,9454,18085
3948,11927,17721
3635,9854,18984
3371,11070,20010
3249,10100,15626
4274,9670,17233
3612,10478,21798
3845,11120,20685
3641,9775,19693
3456,11561,17876
3615,10003,19392
3143,9388,17701
2709,10707,20190
3415,10597,19736
3133,10933,18755
3361,12184,16996
3785,8790,17862
3681,10295,19395
3760,9696,16554
3851,12218,16753
3355,13262,19073
3175,10642,21785
3911,10232,19805
3660,10273,17739
2897,11858,19000
2830,9969,18803
3689,12276,19144
3608,9140,19015
3198,9549,19270
3092,10120,18483
3282,11273,18733
3243,9251,19179
3767,12379,19661
3108,10267,20156
3261,12706,17099
4048,10642,22111
2955,9968,17461
3062,9140,19956
2893,11513,17094
4502,11724,18311
3617,10782,21532
3662,10410,21572
3168,11106,17931
3076,13060,18844
3594,11208,19462
4306,10566,20333
3319,9440,17577
3335,11059,18367
4039,10996,18508
3223,10158,19115
3492,10638,20735
3937,11761,21583
3732,10981,19561
4007,11138,18567
3446,9078,17678
4379,9182,17819
4284,8737,18184
4261,11290,20479
3366,11636,18202
3219,12524,18209
4084,10051,19022
3820,9079,17030
3157,9904,19249
4008,9252,16137
3846,10492,20152
3688,10374,20820
3952,10959,17542
3073,10715,21099
3402,11228,17830
3131,11631,18822
2953,9819,18680
3399,10677,21656
4052,11715,19407
3737,9344,15967
3473,8941,17668
3412,11301,18968
3569,10742,20207
3230,11634,18517
3886,10553,22281
3957,9725,17922
3361,10673,17868
2741,10661,23291
3467,10853,16781
3424,11030,18988
3859,12334,19058
3091,9775,17389
2865,12189,18277
3090,10808,17446
3684,10520,20090
2875,9456,19131
3783,10309,18654
3302,10369,17808
4145,9188,17983
3299,9952,18146
3767,10599,22457
4078,9561,17845
3426,11214,19374
3607,9024,19179
3337,11348,19127
3434,11906,19182
3646,11000,20940
3352,10885,18815
3469,9234,18958
3836,11914,17087
3538,11461,17751
3556,9262,20534
3656,10490,20077
3387,11158,21600
3274,12478,17635
4152,11322,16905
3980,12103,19373
3553,10857,19679
3509,9964,18360
3110,11490,17411
3223,9476,22195
3658,9034,23043
4263,9232,20407
3462,8942,16418
3205,10127,16552
3986,11065,18795
3719,10356,21127
3753,10812,20701
3379,12425,20515
3233,9416,18106
3285,9605,19174
3541,12850,16331
3103,11405,17406
3423,10852,18933
3674,10702,17962
3183,9328,19926
3190,9429,17012
3778,10076,19079
3527,9776,17327
3864,11841,20407
3638,10499,19450
3844,9812,16965
3691,10641,20512
4057,9666,17273
4018,10360,18138
3053,10300,18299
3751,11411,23010
3533,11072,20026
4033,9804,19893
3519,8771,17501
3989,10608,17459
3604,10202,16404
3887,10684,19918
3022,10663,18924
4024,10869,19085
3780,11223,22043
3744,10935,20683
3510,10427,21089
3633,11864,17689
3321,9856,17189
